id,category,name,price,image,options,description,isAvailable
1,パーティーへ行かないか,⁦test⁧,2725531118,(ﾉಥ益ಥ）ﾉ﻿ ┻━┻,Ṱ̺̺̕o͞ ̷i̲̬͇̪͙n̝̗͕v̟̜̘̦͟o̶̙̰̠kè͚̮̺̪̹̱̤ ̖t̝͕̳̣̻̪͞h̼͓̲̦̳̘̲e͇̣̰̦̬͎ ̢̼̻̱̘h͚͎͙̜̣̲ͅi̦̲̣̰̤v̻͍e̺̭̳̪̰-m̢iͅn̖̺̞̲̯̰d̵̼̟͙̩̼̘̳ ̞̥̱̳̭r̛̗̘e͙p͠r̼̞̻̭̗e̺̠̣͟s̘͇̳͍̝͉e͉̥̯̞̲͚̬͜ǹ̬͎͎̟̖͇̤t͍̬̤͓̼̭͘ͅi̪̱n͠g̴͉ ͏͉ͅc̬̟h͡a̫̻̯͘o̫̟̖͍̙̝͉s̗̦̲.̨̹͈̣,❤️ 💔 💌 💕 💞 💓 💗 💖 💘 💝 💟 💜 💛 💚 💙,false
2,/dev/null; touch /tmp/blns.fail ; echo,1/0,5427753606,̗̺͖̹̯͓Ṯ̤͍̥͇͈h̲́e͏͓̼̗̙̼̣͔ ͇̜̱̠͓͍ͅN͕͠e̗̱z̘̝̜̺͙p̤̺̹͍̯͚e̠̻̠͜r̨̤͍̺̖͔̖̖d̠̟̭̬̝͟i̦͖̩͓͔̤a̠̗̬͉̙n͚͜ ̻̞̰͚ͅh̵͉i̳̞v̢͇ḙ͎͟-҉̭̩̼͔m̤̭̫i͕͇̝̦n̗͙ḍ̟ ̯̲͕͞ǫ̟̯̰̲͙̻̝f ̪̰̰̗̖̭̘͘c̦͍̲̞͍̩̙ḥ͚a̮͎̟̙͜ơ̩̹͎s̤.̝̝ ҉Z̡̖̜͖̰̣͉̜a͖̰͙̬͡l̲̫̳͍̩g̡̟̼̱͚̞̬ͅo̗͜.̟,"'""'",-1E02,true
3,(╯°□°）╯︵ ┻━┻)  ,✋🏿 💪🏿 👐🏿 🙌🏿 👏🏿 🙏🏿,5960340168,␡,1E2,❤️ 💔 💌 💕 💞 💓 💗 💖 💘 💝 💟 💜 💛 💚 💙,true
4,␣,"""""",5274209048,ﾟ･✿ヾ╲(｡◕‿◕｡)╱✿･ﾟ,<script>alert('hi')</script>,田中さんにあげて下さい,false
5,ヽ༼ຈل͜ຈ༽ﾉ ヽ༼ຈل͜ຈ༽ﾉ ,﻿,44831592,'',🚾 🆒 🆓 🆕 🆖 🆗 🆙 🏧,<svg><script>0<1>alert('XSS')</script>,false
6,',test⁠test‫,6932519001,œ∑´®†¥¨ˆøπ“‘,$1.00,1'; DROP TABLE users--,false
7,<svg><script>0<1>alert('XSS')</script>,"""",2653587103, test ,1'; DROP TABLE users--,"<>?:""{}|_+",false
8,Œ„´‰ˇÁ¨ˆØ∏”’,・(￣∀￣)・:*:,589509374,　,1,Ṱ̺̺̕o͞ ̷i̲̬͇̪͙n̝̗͕v̟̜̘̦͟o̶̙̰̠kè͚̮̺̪̹̱̤ ̖t̝͕̳̣̻̪͞h̼͓̲̦̳̘̲e͇̣̰̦̬͎ ̢̼̻̱̘h͚͎͙̜̣̲ͅi̦̲̣̰̤v̻͍e̺̭̳̪̰-m̢iͅn̖̺̞̲̯̰d̵̼̟͙̩̼̘̳ ̞̥̱̳̭r̛̗̘e͙p͠r̼̞̻̭̗e̺̠̣͟s̘͇̳͍̝͉e͉̥̯̞̲͚̬͜ǹ̬͎͎̟̖͇̤t͍̬̤͓̼̭͘ͅi̪̱n͠g̴͉ ͏͉ͅc̬̟h͡a̫̻̯͘o̫̟̖͍̙̝͉s̗̦̲.̨̹͈̣,false
9,👩🏽,",./;'[]\-=",7643612223,0️⃣ 1️⃣ 2️⃣ 3️⃣ 4️⃣ 5️⃣ 6️⃣ 7️⃣ 8️⃣ 9️⃣ 🔟,⁰⁴⁵₀₁₂,␢,true
10,-1/2,‪‪test‪,309633355, ,1/0,␣,false
11,1'; DROP TABLE users--,1/2,643315656,␢,`⁄€‹›ﬁﬂ‡°·‚—±,(｡◕ ∀ ◕｡),false
